"","E1A","E1B","E1C","E2A","E2B","E2C","E3A","E3B","E3C","E4A","E4B","E4C","ETEX","ETF","S1A","S1B","S1C","S2A","S2B","S2C","S3A","S3B","S3C","S4A","S4B","S4C","STEX1","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,0,0,9,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea_sp."
"ASV16",24,26,37,0,0,0,0,0,0,0,0,0,0,0,657,1353,4556,0,12,25,0,0,0,0,6,0,0,"","","","","","",""
"ASV160",0,44,30,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV162",25,0,0,0,0,13,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,0,"Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA
"ASV163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,15,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV164",0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_biflora"
"ASV168",0,26,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,9,22,0,0,5,6,0,0,"","","","","","",""
"ASV17",39,8,81,62,142,97,441,551,423,278,496,394,0,0,0,0,0,0,332,319,263,808,68,27,732,530,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae",NA,NA
"ASV171",0,0,0,15,0,15,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae",NA,NA
"ASV173",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,46,0,0,0,0,17,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae","Musa",NA
"ASV174",0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,45,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV176",0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium",NA
"ASV178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana",NA
"ASV181",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia",NA
"ASV182",16,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Gentianaceae",NA,NA
"ASV184",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV186",0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA,NA
"ASV188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,"","","","","","",""
"ASV190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"","","","","","",""
"ASV192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,"","","","","","",""
"ASV193",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Gymnadenia",NA
"ASV194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus","Juniperus_phoenicea"
"ASV196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV199",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV2",459,180,73,3116,2695,2207,3603,3196,3754,2929,3504,4389,759,0,0,219,66,2187,3497,1374,4454,6008,281,150,842,705,0,"Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea",NA
"ASV20",743,856,2618,0,25,54,0,0,0,0,102,94,0,0,222,0,529,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia_pratensis"
"ASV200",0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,24,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV204",0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae","Helianthemum","Helianthemum_nummularium"
"ASV205",0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica_dioica"
