ASV;Phylum;Class;Order;Family;Genus;Species
ASV358;;;;;;
ASV335;;;;;;
ASV369;;;;;;
ASV346;;;;;;
ASV371;;;;;;
ASV349;;;;;;
ASV365;;;;;;
ASV356;;;;;;
ASV373;;;;;;
ASV300;;;;;;
ASV368;;;;;;
ASV374;;;;;;
ASV376;;;;;;
ASV377;;;;;;
ASV366;;;;;;
ASV360;;;;;;
ASV385;;;;;;
ASV370;;;;;;
ASV355;;;;;;
ASV364;;;;;;
ASV361;;;;;;
ASV375;;;;;;
ASV367;;;;;;
ASV386;;;;;;
ASV399;;;;;;
ASV394;;;;;;
ASV405;;;;;;
ASV381;;;;;;
ASV378;;;;;;
ASV402;;;;;;
ASV387;;;;;;
ASV388;;;;;;
ASV397;;;;;;
ASV336;;;;;;
ASV393;;;;;;
ASV384;;;;;;
ASV380;;;;;;
ASV382;;;;;;
ASV398;;;;;;
ASV389;;;;;;
ASV390;;;;;;
ASV412;;;;;;
ASV411;;;;;;
ASV410;;;;;;
ASV404;;;;;;
ASV396;;;;;;
ASV372;;;;;;
ASV406;;;;;;
ASV401;;;;;;
ASV403;;;;;;
ASV379;;;;;;
ASV407;;;;;;
ASV400;;;;;;
ASV413;;;;;;
ASV383;;;;;;
ASV418;;;;;;
ASV408;;;;;;
ASV416;;;;;;
ASV391;;;;;;
ASV417;;;;;;
ASV392;;;;;;
ASV421;;;;;;
ASV419;;;;;;
ASV414;;;;;;
ASV395;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV420;;;;;;
ASV415;;;;;;
ASV345;;;;;;
ASV409;;;;;;
