"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV256","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Taxaceae","Taxus","Taxus_mairei"
"ASV257","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva-ursi"
"ASV259","","","","","","",""
"ASV26","","","","","","",""
"ASV260","","","","","","",""
"ASV262","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_guadalupensis"
"ASV263","","","","","","",""
"ASV268","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Theobroma","Theobroma_cacao"
"ASV269","","","","","","",""
"ASV27","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza_sativa"
"ASV271","","","","","","",""
"ASV273","","","","","","",""
"ASV274","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium_sativum"
"ASV275","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Soldanella","Soldanella_minima"
"ASV276","","","","","","",""
"ASV277","","","","","","",""
"ASV278","","","","","","",""
"ASV279","","","","","","",""
"ASV28","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Phleum","Phleum_pratense"
"ASV281","","","","","","",""
"ASV282","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Crambe","Crambe_hispanica"
"ASV283","","","","","","",""
"ASV285","","","","","","",""
"ASV286","","","","","","",""
"ASV287","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae","Convolvulus","Convolvulus_lineatus"
"ASV288","","","","","","",""
"ASV289","","","","","","",""
"ASV29","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus_fasciculata"
"ASV290","","","","","","",""
"ASV291","","","","","","",""
"ASV293","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer_stachyophyllum"
"ASV294","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula","Pinguicula_ehlersiae"
"ASV296","","","","","","",""
"ASV297","","","","","","",""
"ASV298","","","","","","",""
"ASV299","","","","","","",""
"ASV3","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pseudotsuga","Pseudotsuga_menziesii"
"ASV30","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris_erythrosora"
"ASV300","","","","","","",""
"ASV301","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae","Anacardium","Anacardium_occidentale"
"ASV302","","","","","","",""
"ASV304","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus_multiflora"
"ASV306","","","","","","",""
"ASV307","","","","","","",""
"ASV308","","","","","","",""
"ASV309","","","","","","",""
"ASV31","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_marginata"
"ASV310","","","","","","",""
"ASV312","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae","Chlorophytum","Chlorophytum_subpetiolatum"
"ASV313","","","","","","",""
"ASV314","","","","","","",""
"ASV315","","","","","","",""
"ASV316","","","","","","",""
"ASV317","","","","","","",""
"ASV318","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Trollius","Trollius_sibiricus"
"ASV319","","","","","","",""
"ASV32","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex_bella"
"ASV320","","","","","","",""
"ASV321","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Robinia","Robinia_pseudoacacia"
"ASV322","","","","","","",""
"ASV323","","","","","","",""
"ASV324","","","","","","",""
"ASV325","","","","","","",""
"ASV326","","","","","","",""
