"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV70","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthoxanthum",NA
"ASV71","","","","","","",""
"ASV72","","","","","","",""
"ASV74","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula",NA
"ASV75","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae",NA,NA
"ASV77","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Melanthiaceae","Veratrum",NA
"ASV78","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_rotundifolia"
"ASV8","","","","","","",""
"ASV80","","","","","","",""
"ASV81","","","","","","",""
"ASV82","","","","","","",""
"ASV83","","","","","","",""
"ASV88","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium_vitis-idaea"
"ASV89","","","","","","",""
"ASV9","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"ASV90","","","","","","",""
"ASV91","","","","","","",""
"ASV92","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium",NA
"ASV94","","","","","","",""
"ASV97","","","","","","",""
"ASV99","","","","","","",""
